"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"F-150",5,-1.01891184952419,2.21169894802174,11,15,4,1,NA,14,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,64000,47,NA,NA,1,3,4,4,3,3,1,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,4,3,1,3
"F-150",3,3.03965204300014,-5.39918288548921,10,11,2,1,NA,20,NA,NA,NA,NA,42,NA,NA,NA,0,2000,2000,560,NA,48,1,36000,55,NA,NA,1,4,3,3,2,1,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,1,1,3
"F-150 Lightning EV",5,-0.62899082994168,-0.779681162248857,7,11,2,1,NA,20,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",5,-2.35877929259768,5.42645477703845,12,16,4,1,1,28,6,2,1,22,31,0,1,NA,NA,NA,12000,NA,NA,NA,NA,74000,33,NA,33,1,1,4,4,4,4,1,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,1,2,3,1,3
"F-150 Lightning EV",5,-0.79585257278339,-0.62227415268694,12,16,4,1,1,29,6,3,1,22,42,0,1,1,105,57300,17240,324,NA,36,2,79789,47,NA,33,1,3,3,3,3,3,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,3,3,1,2
"F-150",5,-2.83346964472557,4.15675016881297,6,13,1,1,4,28,3,2,1,18,4,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,23,NA,1,1,3,4,4,4,3,1,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,2,4,2,1
"F-150 Lightning EV",5,-1.30915669792261,-0.420419405613837,11,16,3,1,6,28,6,1,1,22,46,0,1,1,0,2500,30000,700,NA,60,1,70000,4,NA,23,2,4,3,3,3,3,3,1,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,2,3,3
"F-150",5,1.76286784412711,4.02126725043557,6,14,1,1,NA,28,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150 Hybrid",5,-1.66880078861359,1.87626924047893,10,11,3,1,6,15,6,3,1,22,1,0,1,1,0,20000,29000,1036,NA,NA,1,82000,40,NA,10,2,4,3,3,3,1,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,3,4,1,2
"F-150 Hybrid",5,-2.39792368671084,5.19093124637406,8,16,2,1,2,28,2,2,1,9,2,2,2,NA,23,NA,30000,650,NA,72,1,68000,12,NA,10,1,4,3,4,2,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,4,2,2
