"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"GX550",3,2.31524977679413,-2.71465415649242,8,15,2,1,NA,29,NA,NA,NA,NA,42,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,31,518290,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,5,5,1,5,4,5,5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,1.20055793609099,-2.34380582290302,6,15,1,1,9,30,2,2,1,5,31,3,2,1,55,9000,NA,1500,NA,60,NA,82000,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,5,4,3,5,5,4,5,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,2.68193274008031,-2.68287988065115,12,11,4,1,NA,28,6,3,1,22,20,0,2,1,NA,NA,30000,NA,NA,NA,NA,68000,40,949994,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,5,4,4,5,5,5,5,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,1.64840356355684,-2.51969278024827,10,13,3,1,1,28,6,3,1,9,39,0,1,1,69,4000,1000,1500,NA,84,NA,83000,15,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,4,2,4,3,3,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,3.80127519689357,-2.17205988675261,7,13,2,1,11,29,3,2,1,8,4,1,2,1,61,8000,25000,1480,NA,60,NA,90000,34,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,5,4,5,5,5,5,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,0.156305167078623,-2.95516055473112,NA,13,NA,NA,NA,28,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,2.34624189967421,-2.61914425522175,10,16,2,1,NA,20,NA,NA,NA,NA,37,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,4,4,5,5,4,5,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,2.68021319619087,-2.26294112244383,8,13,2,2,1,28,10,2,2,11,42,0,1,1,70,NA,5000,1400,NA,72,NA,75000,1,771340,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,3,1,4,5,1,5,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,1.27599417678011,-2.99721796557789,12,16,4,1,NA,16,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,0.351912025102712,-3.25722152959059,9,15,2,1,3,28,5,3,1,11,46,0,1,1,NA,NA,40000,NA,NA,NA,NA,62000,38,326210,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,4,5,3,4,3,5,5,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA
