"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"Grand Cherokee L",6,4.93693769735846,-1.07667959500547,9,15,2,2,1,14,5,3,1,3,29,0,2,2,NA,NA,NA,624,36,NA,NA,NA,54,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,3,3,4,4,2,4,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,2.15445816898946,-4.15521193035829,11,13,4,1,2,11,6,3,1,22,9,0,1,NA,39,1000,24000,700,NA,76,NA,45000,83,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,2,4,4,2,4,4,1,5,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee L",6,0.160635642547079,0.61283767786413,7,15,1,2,4,14,5,3,1,3,48,0,2,1,79,NA,15000,708,NA,60,NA,52000,61,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,3,3,3,3,3,2,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,-0.0731501597932447,0.574403703133126,11,16,4,2,NA,26,NA,NA,NA,NA,17,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,3.75355473803411,0.402363387603497,12,11,4,1,6,15,6,3,1,22,41,0,1,1,46,17000,8000,6000,NA,60,NA,45000,53,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,5,3,3,5,5,3,5,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,1.27157273854316,0.887906206981395,11,13,4,1,3,16,6,2,1,22,4,0,2,1,50,NA,20000,600,NA,84,NA,540000,47,774410,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,4,2,4,4,1,4,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee Plug-In Hybrid",6,-0.357746085920875,0.0332383046324735,6,14,1,2,NA,10,NA,NA,NA,NA,21,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",4,-11.1446040256194,1.54863191941058,4,12,1,2,NA,16,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,3,3,4,4,4,5,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",7,-3.21578626160276,10.9355242159942,9,15,2,1,6,13,5,1,1,22,36,0,1,1,69,6000,19000,750,NA,72,NA,68000,23,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,5,2,3,4,4,4,5,3,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,4.74247601460916,-0.552280329179677,9,15,2,1,4,16,5,2,1,22,34,0,2,1,NA,NA,63000,NA,NA,NA,NA,70000,13,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,5,5,2,1,3,1,5,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
